Title,Parameter,Scenario,Units,tool_tip_pre,tool_tip_trail,2022,2025,2030,2035,2040,2045,2050,2055,2060
Estimated composite GDP,Estimated Composite GDP,Kea,NZD $B,$,B,290,333.9784627,361.3136468,399.4911788,452.4162719,513.2294089,583.5655095,664.6846413,758.4395641
Estimated composite GDP,Estimated Composite GDP,Tūī,NZD $B,$,B,290,357.383379,420.9659201,467.3245428,487.3664683,508.118935,528.8304244,551.5750904,575.479327
Total population,Total Population,Kea,capita, , ,5166714.356,5300214.356,5408214.356,5608214.356,5788214.356,5948214.356,6088214.356,6210714.356,6323214.356
Total population,Total Population,Tūī,capita, , ,5206651.856,5548151.856,5880151.856,6080151.856,6148151.856,6196151.856,6224151.856,6234651.856,6235151.856
Number of households,Number of Households,Kea,Number, , ,1784753.794,1905000.273,2021901.682,2092324.217,2116267.879,2133169.287,2143028.442,2146725.625,2146901.682
Number of households,Number of Households,Tūī,Number, , ,1770691.294,1817698.337,1855726.506,1926149.041,1989529.323,2045867.351,2095163.125,2138296.928,2177909.604
Carbon price,Carbon Price,Kea,NZD/tCO<sub>2</sub>,$,/t,40,60,105,120,140,155,170,185,205
Carbon price,Carbon Price,Tūī,NZD/tCO<sub>2</sub>,$,/t,40,45,50,60,70,80,95,115,130
GDP/capita,GDP/capita,Kea,$/capita,$,/person,59614.35678,63014.80429,66786.25633,71210.54881,78137.52538,86257.04351,95823.56478,107034.5638,120006.2601
GDP/capita,GDP/capita,Tūī,$/capita,$,/person,59614.35678,64393.40161,71592.84355,76862.58928,79246.5802,81954.66694,85020.96855,88535.32752,92224.25112
VKT light duty fleet,VKT light duty fleet,Kea,km/capita per year,,km per capita,8831.144293,8738.703171,8858.561596,8821.167819,8906.200916,9016.319317,9217.152472,9678.757797,10138.83073
VKT light duty fleet,VKT light duty fleet,Tūī,km/capita per year,,km per capita,8798.628464,9195.854493,9888.661299,10718.20658,11462.94797,11926.26825,12522.55514,13196.54959,13774.63978
VKT truck fleet,VKT per Truck,Kea,km/capita per year,,km per capita,609.0911522,608.0886137,607.9640679,591.8104747,578.7622562,566.7247006,564.861846,576.1012011,585.6198749
VKT truck fleet,VKT per Truck,Tūī,km/capita per year,,km per capita,615.0910968,599.9757343,626.8242671,649.0479445,659.9617369,652.2965999,647.1519841,647.2685378,637.3340793
VKT bus fleet,VKT per Bus,Kea,km/capita per year,,km per capita,90.38626249,105.2787609,115.3800421,121.6073347,128.3642855,136.3434388,147.8265953,164.2323156,180.7624945
VKT bus fleet,VKT per Bus,Tūī,km/capita per year,,km per capita,59.99944619,66.03506509,73.96156544,83.80564118,95.02066893,104.2329618,113.3337231,123.979297,136.0067762
Li-Ion battery capital costs,Li-Ion Battery Costs,Kea,$/kWh,$,/kW,221.712,168.072,110.856,110.856,110.856,110.856,110.856,110.856,110.856
Li-Ion battery capital costs,Li-Ion Battery Costs,Tūī,$/kWh,$,/kW,208.6,140.06,92.38,92.38,92.38,92.38,92.38,92.38,92.38
Hydrogen electrolyser capital  costs,Hydrogen Electrolyser Costs,Kea,$/kW,$,/kW,1552.65,1185.9375,574.75,556.9375,539.125,521.3125,503.5,503.5,503.5
Hydrogen electrolyser capital costs,Hydrogen Electrolyser Costs,Tūī,$/kW,$,/kW,1817.066667,1648.666667,1368,1320.5,1273,1225.5,1178,1178,1178
Wind power capital costs,Wind Power Costs,Kea,$/kW,$,/kW,1913.666667,1782.166667,1563,1490.5,1418,1345.5,1273,1273,1273
Wind power capital costs,Wind Power Costs,Tūī,$/kW,$,/kW,1954.666667,1853.916667,1686,1646.25,1606.5,1566.75,1527,1527,1527
Grid-scale solar power capital costs,Grid-Scale Solar Power Costs ,Kea,$/kW,$,/kW,1073,917.75,659,623.25,587.5,551.75,516,516,516
Grid-scale solar power capital costs,Grid-Scale Solar Power Costs ,Tūī,$/kW,$,/kW,1105.666667,974.9166667,757,723.25,689.5,655.75,622,622,622
Electric vehicle capital costs,Electric Vehicle cost,Kea,$/car,$,/car,47776,36210,32887,32887,32887,32887,32887,32887,32887
Electric vehicle capital costs,Electric Vehicle cost,Tūī,$/car,$,/car,49417,39885,35897,35897,35897,35897,35897,35897,35897
Hydrogen vehicle capital costs,Hydrogen Vehicle Cost,Kea,$/car,$,/car,64143.86227,56376.75898,43431.58682,42472.35747,41513.12812,40553.89877,39594.66942,39594.66942,39594.66942
Hydrogen vehicle capital costs,Hydrogen Vehicle Cost,Tūī,$/car,$,/car,65854.43174,59370.25554,48563.29521,46827.54686,45091.79851,43356.05016,41620.30181,41620.30181,41620.30181
Electric truck capital costs,Electric Truck Cost,Kea,$/truck,$,/truck,1129171.667,831833.2267,336269.16,336269.16,336269.16,336269.16,336269.16,336269.16,336269.16
Electric truck capital costs,Electric Truck Cost,Tūī,$/truck,$,/truck,1162828.78,890733.175,437240.5,409457.215,381673.93,353890.645,336269.16,336269.16,336269.16
Hydrogen truck capital costs,Hydrogen Truck Cost,Kea,$/truck,$,/truck,1167290.555,864322.7388,359376.378,354608.2789,349840.1798,345072.0807,340303.9816,340303.9816,340303.9816
Hydrogen truck capital costs,Hydrogen Truck Cost,Tūī,$/truck,$,/truck,1156021.189,853094.3471,348216.278,347775.028,347333.778,346892.528,346451.278,346451.278,346451.278
