Title,Parameter,Scenario,Units,2018,2025,2030,2035,2040,2045,2050,2055,2060
All energy related annual emissions,All Energy Related Annual Emissions,Kea,MtCO₂,31.432118,24.761087,20.869667,16.256946,11.872398,7.761498,6.310792,6.498791,6.651302
All energy related annual emissions,All Energy Related Annual Emissions,Tūī,MtCO₂,31.432289,27.040057,25.499479,24.048423,19.507808,15.30156,11.365798,9.590377,8.92328
All energy related cumulative emissions,All Energy Related Cumulative Emissions,Kea,MtCO₂,31.432118,224.77282,336.90399499999995,427.4141669999999,495.5452529999999,542.5745429999997,577.0299149999996,609.1478719999996,642.0993599999995
All energy related cumulative emissions,All Energy Related Cumulative Emissions,Tūī,MtCO₂,31.432289,233.88938399999998,364.467935,487.612162,594.232432,679.152728,743.853242,795.355969,841.306563
Electricity generation from solar,Electricity Generation from Solar,Kea,PJ,0.634515,0.8316070000000001,0.9571010000000001,0.9983789999999999,0.573575,8.624337,21.976802,34.61419,39.947263
Electricity generation from solar,Electricity Generation from Solar,Tūī,PJ,0.634515,0.783424,0.867077,0.8665099999999999,1.042904,4.429952,14.782724,26.202085,35.912868
Transport Emissions,Transport Emissions,Kea,MtCO₂,15.693641,15.233336999999999,13.367754,10.145326,6.093971,3.056601,1.753216,1.656765,1.72709
Transport Emissions,Transport Emissions,Tūī,MtCO₂,15.693641,15.85901,15.139877,13.418837,9.395928,6.3090969999999995,3.968077,2.9874929999999997,2.484884
Industrial Emissions,Industrial Emissions,Kea,MtCO₂,6.809562,4.195078,3.717308,2.91973,3.027835,2.226494,2.086978,2.263484,2.439115
Industrial Emissions,Industrial Emissions,Tūī,MtCO₂,6.809701,5.680441,5.819196,5.774504,5.677233,4.976237,3.2651820000000003,3.279786,3.300471
Renewable Electricity,Renewable Electricity,Kea,%,85.67798829375903,93.57241904000429,96.61086905164107,96.24699195639388,96.43222372600067,96.27989342128105,96.17789999368223,95.35142211743091,95.26515831893586
Renewable Electricity,Renewable Electricity,Tūī,%,85.67798829375903,95.67238749630171,96.80505243511419,96.46846089940593,96.30647881599856,96.3046270778372,96.13727919477131,96.2532139662875,96.15348939889307
Renewable Energy,Renewable Energy,Kea,%,27.87503862335096,35.089307834200326,38.1254493910973,44.33682163043632,50.97446480889731,60.71601933260489,65.1043654521554,65.685051867191,66.16234868810568
Renewable Energy,Renewable Energy,Tūī,%,27.87480613056986,34.556603951338346,37.218156551562664,39.782811805345226,45.70153935412088,51.344150192029005,57.974715333682525,59.159970875792176,59.78318039870536
Electrification,Electrification,Kea,%,21.738978578805014,24.852671317753604,26.802920114753597,32.21905098678837,37.730208482399334,42.657553940051976,46.325463524520934,46.88598539617996,47.00788310871958
Electrification,Electrification,Tūī,%,21.7389668291694,24.266841877538358,26.823506141190773,28.951077361330725,33.56676985715452,37.36331799352646,41.783024306962446,42.86167799408318,42.37916778497413
